Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Czech Republic,Cosmetics,Online,H,12/13/10,520018804,1/30/11,3975,437.2,263.33,1737870,1046736.75,691133.25
Asia,Japan,Vegetables,Online,H,5/24/12,843161475,6/22/12,9072,154.06,90.93,1397632.32,824916.96,572715.36
Sub-Saharan Africa,Rwanda,Fruits,Offline,M,11/23/10,206057870,11/28/10,5958,9.33,6.92,55588.14,41229.36,14358.78
Europe,Montenegro,Meat,Online,C,10/7/12,405631816,10/9/12,4323,421.89,364.69,1823830.47,1576554.87,247275.6
Europe,Macedonia,Office Supplies,Offline,C,4/2/10,159119641,4/11/10,5893,651.21,524.96,3837580.53,3093589.28,743991.25
Sub-Saharan Africa,Ghana,Office Supplies,Offline,M,7/31/15,954070174,8/2/15,9421,651.21,524.96,6135049.41,4945648.16,1189401.25
Europe,France,Personal Care,Online,H,10/7/11,298344743,10/30/11,5694,81.73,56.67,465370.62,322678.98,142691.64
Europe,Montenegro,Fruits,Online,C,12/16/16,270117175,2/3/17,2530,9.33,6.92,23604.9,17507.6,6097.3
Middle East and North Africa,Jordan,Office Supplies,Offline,L,7/6/12,767873799,7/28/12,9776,651.21,524.96,6366228.96,5132008.96,1234220
Middle East and North Africa,Afghanistan,Cosmetics,Online,M,12/2/14,860413444,12/25/14,4313,437.2,263.33,1885643.6,1135742.29,749901.31
Sub-Saharan Africa,Eritrea,Vegetables,Online,C,6/15/11,136847436,7/31/11,5052,154.06,90.93,778311.12,459378.36,318932.76
Sub-Saharan Africa,Mali,Beverages,Offline,C,12/13/16,956599605,1/2/17,7936,47.45,31.79,376563.2,252285.44,124277.76
Asia,South Korea,Meat,Online,H,1/8/17,799406278,2/21/17,937,421.89,364.69,395310.93,341714.53,53596.4
Central America and the Caribbean,El Salvador,Beverages,Offline,L,4/12/17,815316283,5/30/17,9061,47.45,31.79,429944.45,288049.19,141895.26
Europe,Moldova ,Clothes,Offline,H,10/28/16,874690949,11/27/16,9344,109.28,35.84,1021112.32,334888.96,686223.36
Australia and Oceania,Marshall Islands,Personal Care,Online,C,1/13/12,918204104,2/7/12,5854,81.73,56.67,478447.42,331746.18,146701.24
Europe,Macedonia,Clothes,Offline,L,7/3/15,506842076,8/4/15,4688,109.28,35.84,512304.64,168017.92,344286.72
Europe,United Kingdom,Snacks,Offline,L,5/18/14,171903693,6/22/14,8978,152.58,97.44,1369863.24,874816.32,495046.92
Sub-Saharan Africa,Mauritius ,Baby Food,Offline,L,1/8/12,965000283,2/13/12,3883,255.28,159.42,991252.24,619027.86,372224.38
Middle East and North Africa,Turkey,Personal Care,Online,C,8/23/16,408055675,9/13/16,1597,81.73,56.67,130522.81,90501.99,40020.82
Sub-Saharan Africa,Burundi,Meat,Offline,L,10/23/14,143306195,12/6/14,6343,421.89,364.69,2676048.27,2313228.67,362819.6
Europe,Czech Republic,Cosmetics,Online,C,1/26/13,983300673,3/9/13,9375,437.2,263.33,4098750,2468718.75,1630031.25
Europe,Bulgaria,Vegetables,Offline,L,6/24/11,660900437,7/13/11,3981,154.06,90.93,613312.86,361992.33,251320.53
Middle East and North Africa,Afghanistan,Baby Food,Online,C,12/5/14,579279315,12/21/14,477,255.28,159.42,121768.56,76043.34,45725.22
Middle East and North Africa,Tunisia ,Baby Food,Online,H,3/29/14,861923635,5/6/14,1212,255.28,159.42,309399.36,193217.04,116182.32
Europe,Luxembourg,Cereal,Online,H,8/28/12,802632224,9/24/12,5566,205.7,117.11,1144926.2,651834.26,493091.94
Europe,Croatia,Beverages,Online,C,6/27/14,215516412,8/5/14,4950,47.45,31.79,234877.5,157360.5,77517
Asia,Indonesia,Cosmetics,Online,H,9/29/13,785000026,10/17/13,7807,437.2,263.33,3413220.4,2055817.31,1357403.09
North America,Mexico,Fruits,Offline,C,1/29/13,215819394,2/20/13,4610,9.33,6.92,43011.3,31901.2,11110.1
Middle East and North Africa,Jordan,Snacks,Offline,M,6/2/12,783023345,7/20/12,2863,152.58,97.44,436836.54,278970.72,157865.82
Middle East and North Africa,Saudi Arabia,Baby Food,Offline,C,10/6/12,781973206,10/8/12,2104,255.28,159.42,537109.12,335419.68,201689.44
Europe,Bulgaria,Fruits,Online,H,5/20/12,378342807,6/24/12,8899,9.33,6.92,83027.67,61581.08,21446.59
Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,8/14/10,258118474,8/18/10,1847,109.28,35.84,201840.16,66196.48,135643.68
Asia,Laos,Personal Care,Online,L,8/28/11,277599036,9/8/11,6579,81.73,56.67,537701.67,372831.93,164869.74
Europe,Serbia,Snacks,Offline,H,3/5/13,813395822,3/22/13,754,152.58,97.44,115045.32,73469.76,41575.56
Europe,Kosovo,Meat,Online,M,2/21/10,512432658,3/16/10,9066,421.89,364.69,3824854.74,3306279.54,518575.2
Sub-Saharan Africa,Sudan,Meat,Offline,H,9/20/13,341945874,11/2/13,8238,421.89,364.69,3475529.82,3004316.22,471213.6
Europe,Norway,Household,Online,H,3/21/17,439484298,4/17/17,2025,668.27,502.54,1353246.75,1017643.5,335603.25
Europe,Portugal,Personal Care,Online,H,1/3/15,562909257,2/15/15,6213,81.73,56.67,507788.49,352090.71,155697.78
Sub-Saharan Africa,Burkina Faso,Cosmetics,Online,C,11/15/13,540394580,12/27/13,3620,437.2,263.33,1582664,953254.6,629409.4
Sub-Saharan Africa,Gabon,Snacks,Offline,M,2/7/14,720426595,3/23/14,9094,152.58,97.44,1387562.52,886119.36,501443.16
Sub-Saharan Africa,Eritrea,Cosmetics,Offline,C,4/6/13,621804130,4/7/13,4515,437.2,263.33,1973958,1188934.95,785023.05
Central America and the Caribbean,Costa Rica,Meat,Offline,M,7/20/17,283638513,8/23/17,3794,421.89,364.69,1600650.66,1383633.86,217016.8
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,L,4/20/15,715353572,6/8/15,7874,651.21,524.96,5127627.54,4133535.04,994092.5
Australia and Oceania,Palau,Beverages,Offline,M,1/21/11,746685636,2/5/11,9727,47.45,31.79,461546.15,309221.33,152324.82
Europe,Georgia,Office Supplies,Offline,L,3/21/14,177683532,5/3/14,9360,651.21,524.96,6095325.6,4913625.6,1181700
Middle East and North Africa,Qatar,Snacks,Offline,M,7/10/12,228708589,7/11/12,8809,152.58,97.44,1344077.22,858348.96,485728.26
Europe,Slovenia,Office Supplies,Online,M,9/17/13,390434634,9/18/13,7139,651.21,524.96,4648988.19,3747689.44,901298.75
Australia and Oceania,Australia,Baby Food,Online,C,6/12/11,673847997,6/29/11,5451,255.28,159.42,1391531.28,868998.42,522532.86
Sub-Saharan Africa,Burundi,Meat,Online,L,10/20/11,260247504,10/28/11,1875,421.89,364.69,791043.75,683793.75,107250
Sub-Saharan Africa,Nigeria,Clothes,Offline,C,5/12/14,651244485,5/13/14,6570,109.28,35.84,717969.6,235468.8,482500.8
Sub-Saharan Africa,Nigeria,Meat,Offline,L,12/21/15,718762767,12/29/15,6730,421.89,364.69,2839319.7,2454363.7,384956
Asia,India,Fruits,Online,H,7/22/14,755038678,7/27/14,1578,9.33,6.92,14722.74,10919.76,3802.98
Asia,Vietnam,Snacks,Offline,H,11/17/12,222621047,11/24/12,7370,152.58,97.44,1124514.6,718132.8,406381.8
Sub-Saharan Africa,Malawi,Meat,Online,M,10/12/14,904371201,11/23/14,2391,421.89,364.69,1008738.99,871973.79,136765.2
Asia,Cambodia,Clothes,Offline,C,10/17/13,153462970,11/12/13,1958,109.28,35.84,213970.24,70174.72,143795.52
Sub-Saharan Africa,Central African Republic,Baby Food,Online,C,2/8/12,343382680,3/17/12,3421,255.28,159.42,873312.88,545375.82,327937.06
Asia,Uzbekistan,Office Supplies,Offline,L,9/26/16,317929160,11/11/16,1158,651.21,524.96,754101.18,607903.68,146197.5
Europe,Vatican City,Fruits,Online,C,1/25/13,341213738,2/25/13,1583,9.33,6.92,14769.39,10954.36,3815.03
Europe,Monaco,Personal Care,Offline,L,1/17/14,747660243,1/29/14,8135,81.73,56.67,664873.55,461010.45,203863.1
Europe,Denmark,Vegetables,Offline,M,12/16/10,592005002,1/8/11,6291,154.06,90.93,969191.46,572040.63,397150.83
Asia,Maldives,Household,Offline,L,2/5/15,799296844,3/10/15,8553,668.27,502.54,5715713.31,4298224.62,1417488.69
Europe,Macedonia,Fruits,Online,C,2/5/16,114897096,3/3/16,9459,9.33,6.92,88252.47,65456.28,22796.19
Europe,Slovenia,Baby Food,Offline,L,1/6/16,954479587,2/2/16,575,255.28,159.42,146786,91666.5,55119.5
Europe,Estonia,Personal Care,Online,L,5/29/10,854030644,6/16/10,5501,81.73,56.67,449596.73,311741.67,137855.06
Europe,Greece,Household,Online,H,10/26/14,119849097,11/21/14,4866,668.27,502.54,3251801.82,2445359.64,806442.18
Sub-Saharan Africa,Swaziland,Clothes,Online,C,7/29/15,478546273,9/4/15,1331,109.28,35.84,145451.68,47703.04,97748.64
Central America and the Caribbean,Guatemala,Vegetables,Online,C,6/2/11,127046000,6/28/11,4590,154.06,90.93,707135.4,417368.7,289766.7
Asia,Tajikistan,Snacks,Offline,L,4/23/17,482584607,5/25/17,6364,152.58,97.44,971019.12,620108.16,350910.96
Europe,Liechtenstein,Household,Offline,L,3/12/15,332710921,4/14/15,5410,668.27,502.54,3615340.7,2718741.4,896599.3
Europe,Denmark,Beverages,Online,M,10/17/10,785286271,11/4/10,2513,47.45,31.79,119241.85,79888.27,39353.58
Middle East and North Africa,Iran,Snacks,Offline,C,9/10/14,318484485,9/27/14,5491,152.58,97.44,837816.78,535043.04,302773.74
Asia,Mongolia,Meat,Offline,M,10/25/15,630791890,11/16/15,4193,421.89,364.69,1768984.77,1529145.17,239839.6
Central America and the Caribbean,Grenada,Beverages,Online,C,7/6/15,791007316,7/17/15,5497,47.45,31.79,260832.65,174749.63,86083.02
Middle East and North Africa,Egypt,Baby Food,Online,H,3/11/16,388242089,4/10/16,8317,255.28,159.42,2123163.76,1325896.14,797267.62
Central America and the Caribbean,Guatemala,Household,Offline,H,7/22/17,881920039,7/31/17,8593,668.27,502.54,5742444.11,4318326.22,1424117.89
Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Offline,C,10/13/12,651777493,11/27/12,4299,81.73,56.67,351357.27,243624.33,107732.94
Europe,Hungary,Personal Care,Offline,M,1/22/15,847863280,2/10/15,441,81.73,56.67,36042.93,24991.47,11051.46
Sub-Saharan Africa,Madagascar,Cosmetics,Offline,H,11/30/15,440538728,12/29/15,4054,437.2,263.33,1772408.8,1067539.82,704868.98
Europe,Bulgaria,Baby Food,Offline,L,9/21/11,270477664,10/1/11,9206,255.28,159.42,2350107.68,1467620.52,882487.16
Middle East and North Africa,Jordan,Meat,Offline,M,1/29/15,798666417,2/7/15,1996,421.89,364.69,842092.44,727921.24,114171.2
Asia,Sri Lanka,Baby Food,Online,L,2/17/13,756403815,3/3/13,5553,255.28,159.42,1417569.84,885259.26,532310.58
Central America and the Caribbean,Jamaica,Clothes,Offline,M,10/25/16,295301187,11/18/16,5038,109.28,35.84,550552.64,180561.92,369990.72
Sub-Saharan Africa,Cameroon,Cosmetics,Online,C,8/18/11,537282359,9/14/11,2645,437.2,263.33,1156394,696507.85,459886.15
Middle East and North Africa,Afghanistan,Fruits,Online,L,6/1/14,424583661,6/24/14,2595,9.33,6.92,24211.35,17957.4,6253.95
Middle East and North Africa,Qatar,Fruits,Offline,H,8/3/16,769753921,8/7/16,6146,9.33,6.92,57342.18,42530.32,14811.86
Asia,Kyrgyzstan,Beverages,Offline,H,8/16/10,205654466,9/7/10,6581,47.45,31.79,312268.45,209209.99,103058.46
Middle East and North Africa,Algeria,Vegetables,Online,L,7/26/16,135459125,8/12/16,4220,154.06,90.93,650133.2,383724.6,266408.6
Sub-Saharan Africa,Zambia,Fruits,Online,C,2/1/10,682654225,3/18/10,1410,9.33,6.92,13155.3,9757.2,3398.1
Asia,Turkmenistan,Personal Care,Offline,H,2/24/17,241038596,4/13/17,7532,81.73,56.67,615590.36,426838.44,188751.92
Europe,Sweden,Snacks,Online,M,10/9/11,424723565,11/9/11,3996,152.58,97.44,609709.68,389370.24,220339.44
Asia,Philippines,Clothes,Offline,C,9/6/10,218132960,10/16/10,9245,109.28,35.84,1010293.6,331340.8,678952.8
Sub-Saharan Africa,Swaziland,Household,Offline,H,7/12/16,926003110,8/12/16,3753,668.27,502.54,2508017.31,1886032.62,621984.69
Middle East and North Africa,Qatar,Fruits,Offline,C,2/7/14,323382842,2/7/14,5024,9.33,6.92,46873.92,34766.08,12107.84
Europe,Hungary,Clothes,Online,H,12/21/11,305633485,12/29/11,2595,109.28,35.84,283581.6,93004.8,190576.8
Australia and Oceania,Marshall Islands,Meat,Online,C,12/23/15,138428866,12/24/15,3033,421.89,364.69,1279592.37,1106104.77,173487.6
Europe,Slovakia,Household,Offline,M,4/24/10,507755315,6/3/10,4936,668.27,502.54,3298580.72,2480537.44,818043.28
Australia and Oceania,Australia,Meat,Online,H,4/25/14,369911658,5/18/14,3935,421.89,364.69,1660137.15,1435055.15,225082
Asia,South Korea,Beverages,Offline,H,7/8/10,101509225,7/21/10,7690,47.45,31.79,364890.5,244465.1,120425.4
Asia,Myanmar,Baby Food,Online,M,8/7/16,149471843,8/17/16,895,255.28,159.42,228475.6,142680.9,85794.7
Asia,Taiwan,Meat,Online,M,6/11/13,581035840,7/10/13,272,421.89,364.69,114754.08,99195.68,15558.4
Central America and the Caribbean,Jamaica,Meat,Offline,H,1/25/17,633750045,2/15/17,9576,421.89,364.69,4040018.64,3492271.44,547747.2
Australia and Oceania,Samoa ,Meat,Online,C,4/10/14,965475785,4/11/14,4595,421.89,364.69,1938584.55,1675750.55,262834
Australia and Oceania,Marshall Islands,Vegetables,Offline,M,11/5/11,504386889,11/30/11,8144,154.06,90.93,1254664.64,740533.92,514130.72
Middle East and North Africa,Iraq,Office Supplies,Offline,L,1/26/10,498969686,2/1/10,5073,651.21,524.96,3303588.33,2663122.08,640466.25
Sub-Saharan Africa,Djibouti,Meat,Offline,C,2/2/14,468023002,2/5/14,7262,421.89,364.69,3063765.18,2648378.78,415386.4
North America,Canada,Clothes,Offline,H,12/14/14,450658166,1/16/15,8621,109.28,35.84,942102.88,308976.64,633126.24
Sub-Saharan Africa,Zambia,Clothes,Offline,M,2/21/16,556299006,2/23/16,93,109.28,35.84,10163.04,3333.12,6829.92
Asia,Mongolia,Personal Care,Offline,C,8/17/14,514681851,9/17/14,4652,81.73,56.67,380207.96,263628.84,116579.12
Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,3/26/12,125855529,4/23/12,2303,668.27,502.54,1539025.81,1157349.62,381676.19
Asia,Turkmenistan,Snacks,Offline,C,11/6/11,610181367,11/20/11,5081,152.58,97.44,775258.98,495092.64,280166.34
Europe,Latvia,Meat,Offline,C,8/20/13,558333194,8/20/13,2054,421.89,364.69,866562.06,749073.26,117488.8
Middle East and North Africa,Qatar,Fruits,Online,M,4/4/11,881297338,4/13/11,4321,9.33,6.92,40314.93,29901.32,10413.61
Sub-Saharan Africa,Malawi,Fruits,Offline,H,10/17/10,760372626,10/18/10,12,9.33,6.92,111.96,83.04,28.92
Middle East and North Africa,Iraq,Cereal,Offline,M,10/27/11,797170388,10/30/11,9288,205.7,117.11,1910541.6,1087717.68,822823.92
Sub-Saharan Africa,Mali,Clothes,Online,H,3/11/11,763614451,4/7/11,9340,109.28,35.84,1020675.2,334745.6,685929.6
Asia,India,Personal Care,Online,C,5/25/14,951941144,7/13/14,9394,81.73,56.67,767771.62,532357.98,235413.64
Central America and the Caribbean,Cuba,Office Supplies,Offline,C,8/19/16,824699294,9/22/16,5703,651.21,524.96,3713850.63,2993846.88,720003.75
Asia,Mongolia,Household,Online,M,3/1/14,364750230,3/9/14,6553,668.27,502.54,4379173.31,3293144.62,1086028.69
North America,United States of America,Clothes,Offline,H,9/2/15,525267779,10/13/15,7263,109.28,35.84,793700.64,260305.92,533394.72
Sub-Saharan Africa,Swaziland,Beverages,Online,M,10/6/15,979738271,10/14/15,5181,47.45,31.79,245838.45,164703.99,81134.46
Europe,Kosovo,Meat,Online,L,11/23/13,571960532,12/23/13,4687,421.89,364.69,1977398.43,1709302.03,268096.4
Middle East and North Africa,Tunisia ,Clothes,Online,H,8/4/10,466045892,9/10/10,2191,109.28,35.84,239432.48,78525.44,160907.04
Asia,Indonesia,Household,Online,H,3/21/11,996418178,5/8/11,1136,668.27,502.54,759154.72,570885.44,188269.28
Middle East and North Africa,Morocco,Vegetables,Offline,M,8/24/14,317813718,10/9/14,6996,154.06,90.93,1077803.76,636146.28,441657.48
Central America and the Caribbean,Saint Lucia,Household,Offline,H,1/6/17,255281341,1/6/17,2276,668.27,502.54,1520982.52,1143781.04,377201.48
Asia,Mongolia,Personal Care,Offline,L,7/16/15,454182374,9/1/15,1512,81.73,56.67,123575.76,85685.04,37890.72
Sub-Saharan Africa,Angola,Snacks,Online,C,4/8/12,630190646,4/15/12,6271,152.58,97.44,956829.18,611046.24,345782.94
Europe,Lithuania,Cereal,Offline,M,5/3/10,119292485,5/20/10,152,205.7,117.11,31266.4,17800.72,13465.68
Sub-Saharan Africa,Ethiopia,Cosmetics,Offline,M,2/21/10,127786719,2/22/10,3785,437.2,263.33,1654802,996704.05,658097.95
Australia and Oceania,Tuvalu,Office Supplies,Online,C,2/25/13,582284677,4/12/13,9830,651.21,524.96,6401394.3,5160356.8,1241037.5
Sub-Saharan Africa,Nigeria,Office Supplies,Online,M,7/18/10,579710185,8/14/10,7981,651.21,524.96,5197307.01,4189705.76,1007601.25
Sub-Saharan Africa,Sudan,Meat,Offline,L,4/9/17,637299573,5/12/17,9961,421.89,364.69,4202446.29,3632677.09,569769.2
Asia,Singapore,Cereal,Online,M,4/12/15,442601668,5/23/15,4524,205.7,117.11,930586.8,529805.64,400781.16
Europe,Ireland,Office Supplies,Offline,C,4/18/10,203477799,5/30/10,2457,651.21,524.96,1600022.97,1289826.72,310196.25
Australia and Oceania,Samoa ,Personal Care,Online,C,11/25/12,198101794,12/9/12,1578,81.73,56.67,128969.94,89425.26,39544.68
Asia,Japan,Household,Offline,M,1/7/12,324959981,2/26/12,1735,668.27,502.54,1159448.45,871906.9,287541.55
Asia,Tajikistan,Snacks,Online,L,7/28/16,552851188,8/25/16,9807,152.58,97.44,1496352.06,955594.08,540757.98
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,L,10/30/13,470886743,12/12/13,4706,152.58,97.44,718041.48,458552.64,259488.84
Europe,Russia,Personal Care,Offline,M,1/22/11,638490474,2/18/11,2375,81.73,56.67,194108.75,134591.25,59517.5
Europe,Austria,Beverages,Offline,H,8/3/16,335398709,8/27/16,786,47.45,31.79,37295.7,24986.94,12308.76
Middle East and North Africa,Libya,Meat,Online,L,4/24/13,711660277,5/12/13,4946,421.89,364.69,2086667.94,1803756.74,282911.2
Middle East and North Africa,Qatar,Snacks,Offline,H,6/22/15,737636506,6/28/15,1889,152.58,97.44,288223.62,184064.16,104159.46
Sub-Saharan Africa,Eritrea,Household,Offline,C,11/18/11,354001224,12/11/11,5684,668.27,502.54,3798446.68,2856437.36,942009.32
Asia,India,Vegetables,Offline,M,2/16/15,921740758,3/3/15,2428,154.06,90.93,374057.68,220778.04,153279.64
Sub-Saharan Africa,Ghana,Fruits,Online,L,5/11/12,272153937,6/1/12,5253,9.33,6.92,49010.49,36350.76,12659.73
Europe,Spain,Clothes,Offline,L,7/7/14,356852090,8/16/14,9318,109.28,35.84,1018271.04,333957.12,684313.92
Middle East and North Africa,Israel,Baby Food,Offline,H,8/29/14,497759044,9/7/14,6817,255.28,159.42,1740243.76,1086766.14,653477.62
Sub-Saharan Africa,Burkina Faso,Fruits,Online,H,6/30/14,537111127,7/31/14,1973,9.33,6.92,18408.09,13653.16,4754.93
Middle East and North Africa,Kuwait,Meat,Online,L,1/3/13,387457168,2/17/13,6041,421.89,364.69,2548637.49,2203092.29,345545.2
Sub-Saharan Africa,South Africa,Household,Online,C,3/31/10,481658494,4/2/10,2307,668.27,502.54,1541698.89,1159359.78,382339.11
Middle East and North Africa,Morocco,Beverages,Offline,L,2/8/11,422888934,3/26/11,1088,47.45,31.79,51625.6,34587.52,17038.08
Central America and the Caribbean,Panama,Clothes,Offline,H,12/25/13,334634816,1/23/14,4733,109.28,35.84,517222.24,169630.72,347591.52
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,C,7/18/14,410694968,9/2/14,2622,9.33,6.92,24463.26,18144.24,6319.02
Sub-Saharan Africa,The Gambia,Beverages,Offline,M,2/6/17,465180718,2/6/17,6167,47.45,31.79,292624.15,196048.93,96575.22
Middle East and North Africa,Qatar,Office Supplies,Online,H,8/30/15,382515895,10/8/15,3808,651.21,524.96,2479807.68,1999047.68,480760
Europe,Bosnia and Herzegovina,Fruits,Offline,L,11/18/12,567436826,12/5/12,6021,9.33,6.92,56175.93,41665.32,14510.61
Europe,Denmark,Beverages,Offline,C,4/5/16,594992339,5/7/16,310,47.45,31.79,14709.5,9854.9,4854.6
Central America and the Caribbean,Barbados,Household,Offline,L,8/26/11,560543763,10/8/11,6211,668.27,502.54,4150624.97,3121275.94,1029349.03
Central America and the Caribbean,Saint Kitts and Nevis ,Baby Food,Online,L,6/20/12,629764926,8/5/12,291,255.28,159.42,74286.48,46391.22,27895.26
Asia,Nepal,Snacks,Online,L,6/25/10,588642156,6/27/10,1150,152.58,97.44,175467,112056,63411
Sub-Saharan Africa,Nigeria,Personal Care,Online,H,6/12/17,293474280,6/24/17,4416,81.73,56.67,360919.68,250254.72,110664.96
Sub-Saharan Africa,Cape Verde,Cosmetics,Offline,L,11/28/15,120872628,1/3/16,7752,437.2,263.33,3389174.4,2041334.16,1347840.24
Sub-Saharan Africa,Sao Tome and Principe,Personal Care,Online,M,12/18/15,517761027,1/12/16,5849,81.73,56.67,478038.77,331462.83,146575.94
Europe,Luxembourg,Clothes,Offline,H,8/22/13,651375806,10/5/13,5431,109.28,35.84,593499.68,194647.04,398852.64
Sub-Saharan Africa,Senegal,Meat,Offline,L,5/23/17,659265792,7/6/17,253,421.89,364.69,106738.17,92266.57,14471.6
Central America and the Caribbean,Antigua and Barbuda ,Personal Care,Online,H,1/4/14,299292314,2/13/14,6101,81.73,56.67,498634.73,345743.67,152891.06
Europe,Albania,Household,Offline,M,4/16/10,299629199,5/22/10,5793,668.27,502.54,3871288.11,2911214.22,960073.89
Sub-Saharan Africa,Benin,Fruits,Online,H,1/31/14,108762776,3/21/14,4177,9.33,6.92,38971.41,28904.84,10066.57
Sub-Saharan Africa,Kenya,Baby Food,Online,H,5/22/15,145491874,6/25/15,3133,255.28,159.42,799792.24,499462.86,300329.38
North America,United States of America,Cosmetics,Offline,M,10/29/12,448927819,11/7/12,6573,437.2,263.33,2873715.6,1730868.09,1142847.51
Europe,Bosnia and Herzegovina,Fruits,Online,M,6/15/17,228494441,7/18/17,5438,9.33,6.92,50736.54,37630.96,13105.58
Middle East and North Africa,United Arab Emirates,Meat,Online,C,2/5/11,113928067,3/1/11,2702,421.89,364.69,1139946.78,985392.38,154554.4
Asia,China,Cereal,Offline,C,9/21/10,805277526,11/1/10,8370,205.7,117.11,1721709,980210.7,741498.3
Asia,Myanmar,Cereal,Offline,L,8/24/11,822904145,8/29/11,4478,205.7,117.11,921124.6,524418.58,396706.02
Europe,Germany,Household,Online,L,1/12/14,557481753,2/8/14,94,668.27,502.54,62817.38,47238.76,15578.62
Central America and the Caribbean,El Salvador,Household,Offline,H,7/18/11,919996678,8/16/11,6316,668.27,502.54,4220793.32,3174042.64,1046750.68
Australia and Oceania,Tonga,Cereal,Online,C,4/5/10,191747748,4/28/10,1275,205.7,117.11,262267.5,149315.25,112952.25
Central America and the Caribbean,Cuba,Household,Offline,H,4/30/17,774346292,6/3/17,5130,668.27,502.54,3428225.1,2578030.2,850194.9
Sub-Saharan Africa,Niger,Cosmetics,Offline,H,6/16/14,639716136,7/10/14,5075,437.2,263.33,2218790,1336399.75,882390.25
Asia,Myanmar,Cosmetics,Offline,C,9/17/14,980093610,10/8/14,334,437.2,263.33,146024.8,87952.22,58072.58
Asia,Maldives,Vegetables,Online,H,4/15/13,358027541,5/23/13,7160,154.06,90.93,1103069.6,651058.8,452010.8
Europe,Moldova ,Baby Food,Online,C,1/7/14,556379258,1/10/14,3841,255.28,159.42,980530.48,612332.22,368198.26
Middle East and North Africa,Afghanistan,Snacks,Online,C,6/12/10,728322589,7/15/10,5694,152.58,97.44,868790.52,554823.36,313967.16
Asia,Vietnam,Baby Food,Offline,M,4/27/12,547343862,5/4/12,67,255.28,159.42,17103.76,10681.14,6422.62
Sub-Saharan Africa,Comoros,Snacks,Offline,C,7/12/11,657241904,8/24/11,1340,152.58,97.44,204457.2,130569.6,73887.6
Asia,Indonesia,Office Supplies,Online,L,2/27/16,422128045,3/19/16,5924,651.21,524.96,3857768.04,3109863.04,747905
Sub-Saharan Africa,Cape Verde,Baby Food,Online,C,6/8/16,176426112,6/19/16,7262,255.28,159.42,1853843.36,1157708.04,696135.32
Middle East and North Africa,Azerbaijan,Meat,Online,L,3/27/11,774872434,5/12/11,827,421.89,364.69,348903.03,301598.63,47304.4
Europe,Andorra,Beverages,Online,L,11/2/11,442515838,12/18/11,9125,47.45,31.79,432981.25,290083.75,142897.5
Sub-Saharan Africa,Mali,Cereal,Online,L,6/16/15,624717652,7/31/15,6691,205.7,117.11,1376338.7,783583.01,592755.69
Sub-Saharan Africa,Swaziland,Snacks,Offline,M,7/28/16,137151706,8/13/16,5092,152.58,97.44,776937.36,496164.48,280772.88
North America,Mexico,Snacks,Online,M,9/28/10,115804326,11/12/10,7928,152.58,97.44,1209654.24,772504.32,437149.92
Middle East and North Africa,Kuwait,Snacks,Offline,C,7/6/13,866974341,7/10/13,5829,152.58,97.44,889388.82,567977.76,321411.06
Middle East and North Africa,Azerbaijan,Fruits,Offline,H,3/16/11,517273080,4/18/11,1454,9.33,6.92,13565.82,10061.68,3504.14
Asia,Turkmenistan,Household,Offline,H,2/21/10,863624370,2/27/10,4497,668.27,502.54,3005210.19,2259922.38,745287.81
Sub-Saharan Africa,Comoros,Vegetables,Online,H,2/17/10,623264539,3/1/10,6682,154.06,90.93,1029428.92,607594.26,421834.66
Sub-Saharan Africa,South Africa,Clothes,Online,L,11/3/15,383742415,12/1/15,6763,109.28,35.84,739060.64,242385.92,496674.72
Europe,Slovakia,Cereal,Offline,L,4/9/10,352919328,5/23/10,5527,205.7,117.11,1136903.9,647266.97,489636.93
Sub-Saharan Africa,Niger,Meat,Offline,M,8/1/11,808969104,9/9/11,790,421.89,364.69,333293.1,288105.1,45188
Asia,South Korea,Cereal,Offline,L,4/8/16,750378072,4/12/16,2401,205.7,117.11,493885.7,281181.11,212704.59
Sub-Saharan Africa,Chad,Beverages,Online,L,7/15/10,145945060,8/6/10,7241,47.45,31.79,343585.45,230191.39,113394.06
Middle East and North Africa,Libya,Clothes,Offline,M,12/10/11,384781396,1/13/12,4221,109.28,35.84,461270.88,151280.64,309990.24
Europe,Liechtenstein,Clothes,Online,H,8/10/12,226310908,9/1/12,9282,109.28,35.84,1014336.96,332666.88,681670.08
Australia and Oceania,Vanuatu,Vegetables,Online,C,4/18/13,750269925,5/20/13,398,154.06,90.93,61315.88,36190.14,25125.74
Asia,Singapore,Meat,Online,H,1/14/12,406707274,2/29/12,2575,421.89,364.69,1086366.75,939076.75,147290
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Online,L,7/5/15,865984284,7/16/15,2849,668.27,502.54,1903901.23,1431736.46,472164.77
Middle East and North Africa,Saudi Arabia,Meat,Online,H,7/7/12,268774783,7/20/12,5286,421.89,364.69,2230110.54,1927751.34,302359.2
